system,band,eps,N,kappa_lower,kappa_upper,sigma_min_lo,sigma_max_hi,conclusive
water_cluster_128,0,-1.15903,2,5.778,6.366,0.16881,1.07459,True
water_cluster_128,0,-1.15903,3,4.387,4.586,0.23625,1.08341,True
water_cluster_128,0,-1.15903,4,3.598,3.704,0.29475,1.09184,True
water_cluster_128,0,-1.15903,5,3.083,3.161,0.34605,1.09389,True
water_cluster_128,0,-1.15903,6,2.737,2.779,0.39523,1.09831,True
water_cluster_128,0,-1.15903,7,2.452,2.486,0.43842,1.08973,True
water_cluster_128,0,-1.15903,8,2.313,2.337,0.47838,1.11791,True
water_cluster_128,0,-1.15903,9,2.081,2.099,0.51528,1.08171,True
water_cluster_128,0,-1.15903,10,2.066,2.081,0.54874,1.14217,True
water_cluster_128,256,-0.54032,0,20.216,inf,0.0,0.98562,False
water_cluster_128,256,-0.54032,1,9.648,13.533,0.08435,1.14153,True
water_cluster_128,256,-0.54032,2,6.303,7.482,0.13917,1.04124,True
water_cluster_128,256,-0.54032,3,4.926,5.272,0.20673,1.08995,True
water_cluster_128,256,-0.54032,4,4.053,4.2,0.26808,1.12587,True
water_cluster_128,256,-0.54032,5,3.479,3.561,0.32393,1.15369,True
water_cluster_128,256,-0.54032,6,3.291,3.364,0.37443,1.25963,True
water_cluster_128,256,-0.54032,7,3.38,3.48,0.41865,1.45706,True
water_cluster_128,256,-0.54032,8,3.688,3.814,0.461,1.75838,True
water_cluster_128,256,-0.54032,9,4.242,4.392,0.50162,2.20329,True
water_cluster_128,256,-0.54032,10,5.131,5.445,0.52384,2.85232,True
